evidence_status,synthetic,model,pair,strategy,budget_seconds,K,p,Y,risk_increases,risk_decreases,K_0,p_0,Y_0,delta_Y,precision_threshold,precision_threshold_gt_one,upfront_seconds,audit_seconds,required_seconds,unspent_seconds,overhead_exceeds_budget,decomposition_status,precision_gain,capacity_loss
historical_observation,False,granite,2101-2114,direct,83.6663481220603,300,0.18333333333333332,55,19,36,300,0.18333333333333332,55,0,0.18333333333333332,False,0.0009467154741287231,83.46036181971431,83.46130853518844,0.20503958687186344,False,defined,0,0
historical_observation,False,granite,2101-2114,loss,83.6663481220603,80,0.625,50,20,30,300,0.18333333333333332,55,-5,0.6875,False,61.14055571705103,22.52579240500927,83.6663481220603,3.8498e-15,False,defined,106/3,121/3
historical_observation,False,granite,2101-2114,primary,83.6663481220603,99,0.35353535353535354,35,11,24,300,0.18333333333333332,55,-20,0.5555555555555556,False,56.25359194725752,27.348702900111675,83.6022948473692,0.06405327469110796,False,defined,337/20,737/20
historical_observation,False,granite,2101-2114,norm,83.6663481220603,123,0.34146341463414637,42,19,23,300,0.18333333333333332,55,-13,0.44715447154471544,False,49.43015743792057,34.0903729274869,83.52053036540747,0.14581775665283547,False,defined,389/20,649/20
historical_observation,False,granite,2101-2114,paid_direct,83.6663481220603,284,0.19014084507042253,54,18,36,300,0.18333333333333332,55,-1,0.1936619718309859,False,4.227288354933262,79.18391210213304,83.4112004570663,0.2551476649940025,False,defined,29/15,44/15
historical_observation,False,granite,2101-2114,paid_loss,83.6663481220603,64,0.640625,41,18,23,300,0.18333333333333332,55,-14,0.859375,False,65.36689735651017,18.090683557093143,83.45758091360331,0.2087672084569971,False,defined,439/15,649/15
historical_observation,False,granite,2101-2114,paid_primary,83.6663481220603,83,0.37349397590361444,31,11,20,300,0.18333333333333332,55,-24,0.6626506024096386,False,60.47993358671665,22.92868299782276,83.40861658453942,0.25773153752088857,False,defined,947/60,2387/60
historical_observation,False,granite,2101-2114,paid_norm,83.6663481220603,108,0.3148148148148148,34,16,18,300,0.18333333333333332,55,-21,0.5092592592592593,False,53.6564990773797,29.845976941287518,83.50247601866722,0.1638721033930815,False,defined,71/5,176/5
historical_observation,False,granite,2108-2112,direct,83.6663481220603,303,0.13861386138613863,42,20,22,303,0.13861386138613863,42,0,0.13861386138613863,False,0.0020539090037345886,83.455241587013,83.45729549601674,0.20905262604355923,False,defined,0,0
historical_observation,False,granite,2108-2112,loss,83.6663481220603,77,0.4675324675324675,36,19,17,303,0.13861386138613863,42,-6,0.5454545454545454,False,61.6280924603343,21.82058109715581,83.44867355749011,0.21767456457019016,False,defined,2558/101,3164/101
historical_observation,False,granite,2108-2112,primary,83.6663481220603,101,0.26732673267326734,27,11,16,303,0.13861386138613863,42,-15,0.4158415841584158,False,55.201897613704205,28.419850535690784,83.62174814939499,0.04459997266530947,False,defined,13,28
historical_observation,False,granite,2108-2112,norm,83.6663481220603,122,0.27049180327868855,33,15,18,303,0.13861386138613863,42,-9,0.3442622950819672,False,49.33704386278987,34.32467969506979,83.66172355785966,0.004624564200640759,False,defined,1625/101,2534/101
historical_observation,False,granite,2108-2112,paid_direct,83.6663481220603,289,0.1384083044982699,40,18,22,303,0.13861386138613863,42,-2,0.1453287197231834,False,4.009654898941517,79.65417391806841,83.66382881700993,0.0025193050503740312,False,defined,-6/101,196/101
historical_observation,False,granite,2108-2112,paid_loss,83.6663481220603,63,0.49206349206349204,31,17,14,303,0.13861386138613863,42,-11,0.6666666666666666,False,65.63569345027209,18.004479449242353,83.64017289951444,0.026175222545863543,False,defined,2249/101,3360/101
historical_observation,False,granite,2108-2112,paid_primary,83.6663481220603,85,0.25882352941176473,22,9,13,303,0.13861386138613863,42,-20,0.49411764705882355,False,59.20949860364199,24.323431499302387,83.53293010294438,0.13341801911592416,False,defined,1032/101,3052/101
historical_observation,False,granite,2108-2112,paid_norm,83.6663481220603,107,0.2897196261682243,31,15,16,303,0.13861386138613863,42,-11,0.3925233644859813,False,53.344644852727654,30.173087894916534,83.51773274764419,0.1486153744161137,False,defined,1633/101,2744/101
historical_observation,False,granite,2111-2113,direct,83.6663481220603,287,0.17770034843205576,51,17,34,287,0.17770034843205576,51,0,0.17770034843205576,False,0.0020501315593719482,83.52052893489599,83.52257906645536,0.1437690556049358,False,defined,0,0
historical_observation,False,granite,2111-2113,loss,83.6663481220603,79,0.4936708860759494,39,15,24,287,0.17770034843205576,51,-12,0.6455696202531646,False,60.89666819944978,22.37458423152566,83.27125243097544,0.3950956910848623,False,defined,7164/287,10608/287
historical_observation,False,granite,2111-2113,primary,83.6663481220603,106,0.2830188679245283,30,7,23,287,0.17770034843205576,51,-21,0.4811320754716981,False,52.9995090700686,30.233066715300083,83.23257578536868,0.4337723366916193,False,defined,3204/287,9231/287
historical_observation,False,granite,2111-2113,norm,83.6663481220603,122,0.29508196721311475,36,12,24,287,0.17770034843205576,51,-15,0.4180327868852459,False,48.586369916796684,35.032035022974014,83.6184049397707,0.04794318228960119,False,defined,4110/287,8415/287
historical_observation,False,granite,2111-2113,paid_direct,83.6663481220603,273,0.1794871794871795,49,16,33,287,0.17770034843205576,51,-2,0.18681318681318682,False,4.205380976945162,79.23227287456393,83.4376538515091,0.22869427055120561,False,defined,20/41,102/41
historical_observation,False,granite,2111-2113,paid_loss,83.6663481220603,65,0.49230769230769234,32,14,18,287,0.17770034843205576,51,-19,0.7846153846153846,False,65.09999904483557,18.45972689241171,83.55972593724728,0.10662218481302295,False,defined,5869/287,11322/287
historical_observation,False,granite,2111-2113,paid_primary,83.6663481220603,92,0.29347826086956524,27,7,20,287,0.17770034843205576,51,-24,0.5543478260869565,False,57.20283991545439,26.276560373604298,83.47940028905869,0.18694783300161483,False,defined,3057/287,9945/287
historical_observation,False,granite,2111-2113,paid_norm,83.6663481220603,109,0.29357798165137616,32,12,20,287,0.17770034843205576,51,-19,0.46788990825688076,False,52.78970076218248,30.764929365366697,83.55463012754917,0.1117179945111282,False,defined,3625/287,9078/287
historical_observation,False,granite,7101-7102,direct,83.6663481220603,133,0.6766917293233082,90,0,90,133,0.6766917293233082,90,0,0.6766917293233082,False,0.002069815993309021,83.35347620770335,83.35554602369666,0.31080209836363887,False,defined,0,0
historical_observation,False,granite,7101-7102,loss,83.6663481220603,33,0.696969696969697,23,0,23,133,0.6766917293233082,90,-67,2.727272727272727,True,62.437783729285,20.67721028625965,83.11499401554465,0.5513541065156488,False,defined,89/133,9000/133
historical_observation,False,granite,7101-7102,primary,83.6663481220603,47,0.48936170212765956,23,0,23,133,0.6766917293233082,90,-67,1.9148936170212767,True,54.39932708442211,29.080131571739912,83.47945865616202,0.18688946589827649,False,defined,-1171/133,7740/133
historical_observation,False,granite,7101-7102,norm,83.6663481220603,54,0.4444444444444444,24,0,24,133,0.6766917293233082,90,-66,1.6666666666666667,True,49.98965686932206,32.995037857443094,82.98469472676516,0.681653395295144,False,defined,-1668/133,7110/133
historical_observation,False,granite,7101-7102,paid_direct,83.6663481220603,125,0.656,82,0,82,133,0.6766917293233082,90,-8,0.72,False,4.416899130493403,78.71269723400474,83.12959636449814,0.536751757562161,False,defined,-344/133,720/133
historical_observation,False,granite,7101-7102,paid_loss,83.6663481220603,26,0.6153846153846154,16,0,16,133,0.6766917293233082,90,-74,3.4615384615384617,True,66.8526130437851,16.476541195064783,83.32915423884988,0.33719388321042293,False,defined,-212/133,9630/133
historical_observation,False,granite,7101-7102,paid_primary,83.6663481220603,39,0.41025641025641024,16,0,16,133,0.6766917293233082,90,-74,2.3076923076923075,True,58.81415639892221,24.591367166489363,83.40552356541157,0.2608245566487318,False,defined,-1382/133,8460/133
historical_observation,False,granite,7101-7102,paid_norm,83.6663481220603,48,0.3958333333333333,19,0,19,133,0.6766917293233082,90,-71,1.875,True,54.40448618382216,29.055468805134296,83.45995498895645,0.20639313310384796,False,defined,-1793/133,7650/133
historical_observation,False,granite,7103-7104,direct,83.6663481220603,299,0.1705685618729097,51,22,29,299,0.1705685618729097,51,0,0.1705685618729097,False,0.002234727144241333,83.57029953598976,83.572534263134,0.09381385892629712,False,defined,0,0
historical_observation,False,granite,7103-7104,loss,83.6663481220603,85,0.4823529411764706,41,19,22,299,0.1705685618729097,51,-10,0.6,False,60.19436161965132,23.209625579416752,83.40398719906807,0.26236092299222746,False,defined,7924/299,10914/299
historical_observation,False,granite,7103-7104,primary,83.6663481220603,103,0.30097087378640774,31,13,18,299,0.1705685618729097,51,-20,0.49514563106796117,False,55.36667571589351,28.034906532615423,83.40158224850893,0.26476587355136927,False,defined,4016/299,9996/299
historical_observation,False,granite,7103-7104,norm,83.6663481220603,126,0.30158730158730157,38,19,19,299,0.1705685618729097,51,-13,0.40476190476190477,False,49.236096650362015,34.42658272758126,83.66267937794328,0.0036687441170223226,False,defined,4936/299,8823/299
historical_observation,False,granite,7103-7104,paid_direct,83.6663481220603,284,0.16901408450704225,48,19,29,299,0.1705685618729097,51,-3,0.1795774647887324,False,4.066965860128403,79.51050855964422,83.57747441977263,0.0888737022876747,False,defined,-132/299,765/299
historical_observation,False,granite,7103-7104,paid_loss,83.6663481220603,71,0.49295774647887325,35,17,18,299,0.1705685618729097,51,-16,0.7183098591549296,False,64.25909275263548,19.199086643755436,83.45817939639092,0.20816872566938177,False,defined,6844/299,11628/299
historical_observation,False,granite,7103-7104,paid_primary,83.6663481220603,88,0.3181818181818182,28,12,16,299,0.1705685618729097,51,-23,0.5795454545454546,False,59.43140684887767,24.019150014966726,83.4505568638444,0.21579125821590459,False,defined,3884/299,10761/299
historical_observation,False,granite,7103-7104,paid_norm,83.6663481220603,111,0.2882882882882883,32,16,16,299,0.1705685618729097,51,-19,0.4594594594594595,False,53.30082778334618,30.333461951464415,83.6342897348106,0.032058387249708706,False,defined,3907/299,9588/299
historical_observation,False,granite,7105-7106,direct,83.6663481220603,300,0.15,45,18,27,300,0.15,45,0,0.15,False,0.0023152045905590057,83.54869106411934,83.5510062687099,0.11534185335040203,False,defined,0,0
historical_observation,False,granite,7105-7106,loss,83.6663481220603,75,0.5333333333333333,40,13,27,300,0.15,45,-5,0.6,False,62.89373278617859,20.68634070828557,83.58007349446416,0.08627462759614055,False,defined,115/4,135/4
historical_observation,False,granite,7105-7106,primary,83.6663481220603,100,0.34,34,11,23,300,0.15,45,-11,0.45,False,55.90057962760329,27.76274372637272,83.66332335397601,0.0030247680842886843,False,defined,19,30
historical_observation,False,granite,7105-7106,norm,83.6663481220603,122,0.30327868852459017,37,14,23,300,0.15,45,-8,0.36885245901639346,False,49.66940197348595,33.99527361616492,83.66467558965087,0.001672532409433959,False,defined,187/10,267/10
historical_observation,False,granite,7105-7106,paid_direct,83.6663481220603,285,0.15087719298245614,43,18,25,300,0.15,45,-2,0.15789473684210525,False,4.2495999306440355,79.35755867138505,83.60715860202909,0.059189520031214714,False,defined,1/4,9/4
historical_observation,False,granite,7105-7106,paid_loss,83.6663481220603,59,0.5423728813559322,32,11,21,300,0.15,45,-13,0.7627118644067796,False,67.14101751223207,16.347962111234665,83.48897962346673,0.1773684985935692,False,defined,463/20,723/20
historical_observation,False,granite,7105-7106,paid_primary,83.6663481220603,84,0.32142857142857145,27,10,17,300,0.15,45,-18,0.5357142857142857,False,60.14786435365677,23.411147091537714,83.55901144519449,0.10733667686581695,False,defined,72/5,162/5
historical_observation,False,granite,7105-7106,paid_norm,83.6663481220603,106,0.32075471698113206,34,14,20,300,0.15,45,-11,0.42452830188679247,False,53.91668669953942,29.539876118302345,83.45656281784177,0.20978530421853486,False,defined,181/10,291/10
historical_observation,False,granite,7107-7108,direct,83.6663481220603,223,0.35874439461883406,80,7,73,223,0.35874439461883406,80,0,0.35874439461883406,False,0.0015692003071308136,83.43695102632046,83.43852022662759,0.22782789543271117,False,defined,0,0
historical_observation,False,granite,7107-7108,loss,83.6663481220603,66,0.4696969696969697,31,13,18,223,0.35874439461883406,80,-49,1.2121212121212122,True,62.6268941052258,20.835960671305656,83.46285477653146,0.2034933455288406,False,defined,1633/223,12560/223
historical_observation,False,granite,7107-7108,primary,83.6663481220603,74,0.3783783783783784,28,3,25,223,0.35874439461883406,80,-52,1.0810810810810811,True,56.53199842572212,26.850067768245935,83.38206619396806,0.2842819280922391,False,defined,324/223,11920/223
historical_observation,False,granite,7107-7108,norm,83.6663481220603,97,0.32989690721649484,32,8,24,223,0.35874439461883406,80,-48,0.8247422680412371,False,49.96365933120251,33.57517362758517,83.53883295878768,0.12751516327261747,False,defined,-624/223,10080/223
historical_observation,False,granite,7107-7108,paid_direct,83.6663481220603,210,0.3619047619047619,76,7,69,223,0.35874439461883406,80,-4,0.38095238095238093,False,4.618223544955254,78.95365048572421,83.57187403067947,0.09447409138083485,False,defined,148/223,1040/223
historical_observation,False,granite,7107-7108,paid_loss,83.6663481220603,51,0.5098039215686274,26,12,14,223,0.35874439461883406,80,-54,1.5686274509803921,True,67.24354844987393,16.419952996075153,83.66350144594908,0.0028466761112207,False,defined,1718/223,13760/223
